"response_id","pair_id","prompt_condition","formalised_argumentation_requested","generation_number","randomised_call_order"
"SFR_V3_RECOMMENDED_G0260_AO","sami_father_v3_0260","answer_only","0","260","1"
"SFR_V3_RECOMMENDED_G0135_FA","sami_father_v3_0135","formalised_argumentation","1","135","2"
"SFR_V3_RECOMMENDED_G0094_FA","sami_father_v3_0094","formalised_argumentation","1","94","3"
"SFR_V3_RECOMMENDED_G0263_AO","sami_father_v3_0263","answer_only","0","263","4"
"SFR_V3_RECOMMENDED_G0110_AO","sami_father_v3_0110","answer_only","0","110","5"
"SFR_V3_RECOMMENDED_G0236_AO","sami_father_v3_0236","answer_only","0","236","6"
"SFR_V3_RECOMMENDED_G0231_AO","sami_father_v3_0231","answer_only","0","231","7"
"SFR_V3_RECOMMENDED_G0203_FA","sami_father_v3_0203","formalised_argumentation","1","203","8"
"SFR_V3_RECOMMENDED_G0228_AO","sami_father_v3_0228","answer_only","0","228","9"
"SFR_V3_RECOMMENDED_G0186_FA","sami_father_v3_0186","formalised_argumentation","1","186","10"
"SFR_V3_RECOMMENDED_G0046_FA","sami_father_v3_0046","formalised_argumentation","1","46","11"
"SFR_V3_RECOMMENDED_G0158_FA","sami_father_v3_0158","formalised_argumentation","1","158","12"
"SFR_V3_RECOMMENDED_G0180_AO","sami_father_v3_0180","answer_only","0","180","13"
"SFR_V3_RECOMMENDED_G0142_AO","sami_father_v3_0142","answer_only","0","142","14"
"SFR_V3_RECOMMENDED_G0157_FA","sami_father_v3_0157","formalised_argumentation","1","157","15"
"SFR_V3_RECOMMENDED_G0061_FA","sami_father_v3_0061","formalised_argumentation","1","61","16"
"SFR_V3_RECOMMENDED_G0242_AO","sami_father_v3_0242","answer_only","0","242","17"
"SFR_V3_RECOMMENDED_G0252_FA","sami_father_v3_0252","formalised_argumentation","1","252","18"
"SFR_V3_RECOMMENDED_G0136_AO","sami_father_v3_0136","answer_only","0","136","19"
"SFR_V3_RECOMMENDED_G0283_FA","sami_father_v3_0283","formalised_argumentation","1","283","20"
"SFR_V3_RECOMMENDED_G0212_AO","sami_father_v3_0212","answer_only","0","212","21"
"SFR_V3_RECOMMENDED_G0099_AO","sami_father_v3_0099","answer_only","0","99","22"
"SFR_V3_RECOMMENDED_G0113_FA","sami_father_v3_0113","formalised_argumentation","1","113","23"
"SFR_V3_RECOMMENDED_G0165_FA","sami_father_v3_0165","formalised_argumentation","1","165","24"
"SFR_V3_RECOMMENDED_G0188_FA","sami_father_v3_0188","formalised_argumentation","1","188","25"
"SFR_V3_RECOMMENDED_G0105_AO","sami_father_v3_0105","answer_only","0","105","26"
"SFR_V3_RECOMMENDED_G0100_AO","sami_father_v3_0100","answer_only","0","100","27"
"SFR_V3_RECOMMENDED_G0112_FA","sami_father_v3_0112","formalised_argumentation","1","112","28"
"SFR_V3_RECOMMENDED_G0087_FA","sami_father_v3_0087","formalised_argumentation","1","87","29"
"SFR_V3_RECOMMENDED_G0051_AO","sami_father_v3_0051","answer_only","0","51","30"
"SFR_V3_RECOMMENDED_G0145_FA","sami_father_v3_0145","formalised_argumentation","1","145","31"
"SFR_V3_RECOMMENDED_G0048_AO","sami_father_v3_0048","answer_only","0","48","32"
"SFR_V3_RECOMMENDED_G0202_AO","sami_father_v3_0202","answer_only","0","202","33"
"SFR_V3_RECOMMENDED_G0142_FA","sami_father_v3_0142","formalised_argumentation","1","142","34"
"SFR_V3_RECOMMENDED_G0157_AO","sami_father_v3_0157","answer_only","0","157","35"
"SFR_V3_RECOMMENDED_G0164_AO","sami_father_v3_0164","answer_only","0","164","36"
"SFR_V3_RECOMMENDED_G0121_AO","sami_father_v3_0121","answer_only","0","121","37"
"SFR_V3_RECOMMENDED_G0028_AO","sami_father_v3_0028","answer_only","0","28","38"
"SFR_V3_RECOMMENDED_G0159_AO","sami_father_v3_0159","answer_only","0","159","39"
"SFR_V3_RECOMMENDED_G0228_FA","sami_father_v3_0228","formalised_argumentation","1","228","40"
"SFR_V3_RECOMMENDED_G0199_AO","sami_father_v3_0199","answer_only","0","199","41"
"SFR_V3_RECOMMENDED_G0238_AO","sami_father_v3_0238","answer_only","0","238","42"
"SFR_V3_RECOMMENDED_G0145_AO","sami_father_v3_0145","answer_only","0","145","43"
"SFR_V3_RECOMMENDED_G0130_AO","sami_father_v3_0130","answer_only","0","130","44"
"SFR_V3_RECOMMENDED_G0027_FA","sami_father_v3_0027","formalised_argumentation","1","27","45"
"SFR_V3_RECOMMENDED_G0252_AO","sami_father_v3_0252","answer_only","0","252","46"
"SFR_V3_RECOMMENDED_G0271_AO","sami_father_v3_0271","answer_only","0","271","47"
"SFR_V3_RECOMMENDED_G0126_AO","sami_father_v3_0126","answer_only","0","126","48"
"SFR_V3_RECOMMENDED_G0083_AO","sami_father_v3_0083","answer_only","0","83","49"
"SFR_V3_RECOMMENDED_G0066_AO","sami_father_v3_0066","answer_only","0","66","50"
"SFR_V3_RECOMMENDED_G0039_AO","sami_father_v3_0039","answer_only","0","39","51"
"SFR_V3_RECOMMENDED_G0021_AO","sami_father_v3_0021","answer_only","0","21","52"
"SFR_V3_RECOMMENDED_G0080_FA","sami_father_v3_0080","formalised_argumentation","1","80","53"
"SFR_V3_RECOMMENDED_G0265_FA","sami_father_v3_0265","formalised_argumentation","1","265","54"
"SFR_V3_RECOMMENDED_G0193_FA","sami_father_v3_0193","formalised_argumentation","1","193","55"
"SFR_V3_RECOMMENDED_G0272_AO","sami_father_v3_0272","answer_only","0","272","56"
"SFR_V3_RECOMMENDED_G0259_FA","sami_father_v3_0259","formalised_argumentation","1","259","57"
"SFR_V3_RECOMMENDED_G0241_FA","sami_father_v3_0241","formalised_argumentation","1","241","58"
"SFR_V3_RECOMMENDED_G0125_FA","sami_father_v3_0125","formalised_argumentation","1","125","59"
"SFR_V3_RECOMMENDED_G0179_AO","sami_father_v3_0179","answer_only","0","179","60"
"SFR_V3_RECOMMENDED_G0271_FA","sami_father_v3_0271","formalised_argumentation","1","271","61"
"SFR_V3_RECOMMENDED_G0277_AO","sami_father_v3_0277","answer_only","0","277","62"
"SFR_V3_RECOMMENDED_G0233_AO","sami_father_v3_0233","answer_only","0","233","63"
"SFR_V3_RECOMMENDED_G0058_FA","sami_father_v3_0058","formalised_argumentation","1","58","64"
"SFR_V3_RECOMMENDED_G0208_FA","sami_father_v3_0208","formalised_argumentation","1","208","65"
"SFR_V3_RECOMMENDED_G0006_AO","sami_father_v3_0006","answer_only","0","6","66"
"SFR_V3_RECOMMENDED_G0250_AO","sami_father_v3_0250","answer_only","0","250","67"
"SFR_V3_RECOMMENDED_G0067_AO","sami_father_v3_0067","answer_only","0","67","68"
"SFR_V3_RECOMMENDED_G0151_FA","sami_father_v3_0151","formalised_argumentation","1","151","69"
"SFR_V3_RECOMMENDED_G0055_FA","sami_father_v3_0055","formalised_argumentation","1","55","70"
"SFR_V3_RECOMMENDED_G0234_FA","sami_father_v3_0234","formalised_argumentation","1","234","71"
"SFR_V3_RECOMMENDED_G0249_AO","sami_father_v3_0249","answer_only","0","249","72"
"SFR_V3_RECOMMENDED_G0217_AO","sami_father_v3_0217","answer_only","0","217","73"
"SFR_V3_RECOMMENDED_G0218_AO","sami_father_v3_0218","answer_only","0","218","74"
"SFR_V3_RECOMMENDED_G0203_AO","sami_father_v3_0203","answer_only","0","203","75"
"SFR_V3_RECOMMENDED_G0117_FA","sami_father_v3_0117","formalised_argumentation","1","117","76"
"SFR_V3_RECOMMENDED_G0210_AO","sami_father_v3_0210","answer_only","0","210","77"
"SFR_V3_RECOMMENDED_G0144_FA","sami_father_v3_0144","formalised_argumentation","1","144","78"
"SFR_V3_RECOMMENDED_G0071_AO","sami_father_v3_0071","answer_only","0","71","79"
"SFR_V3_RECOMMENDED_G0103_FA","sami_father_v3_0103","formalised_argumentation","1","103","80"
"SFR_V3_RECOMMENDED_G0209_AO","sami_father_v3_0209","answer_only","0","209","81"
"SFR_V3_RECOMMENDED_G0218_FA","sami_father_v3_0218","formalised_argumentation","1","218","82"
"SFR_V3_RECOMMENDED_G0048_FA","sami_father_v3_0048","formalised_argumentation","1","48","83"
"SFR_V3_RECOMMENDED_G0034_AO","sami_father_v3_0034","answer_only","0","34","84"
"SFR_V3_RECOMMENDED_G0244_FA","sami_father_v3_0244","formalised_argumentation","1","244","85"
"SFR_V3_RECOMMENDED_G0204_FA","sami_father_v3_0204","formalised_argumentation","1","204","86"
"SFR_V3_RECOMMENDED_G0007_AO","sami_father_v3_0007","answer_only","0","7","87"
"SFR_V3_RECOMMENDED_G0254_FA","sami_father_v3_0254","formalised_argumentation","1","254","88"
"SFR_V3_RECOMMENDED_G0275_AO","sami_father_v3_0275","answer_only","0","275","89"
"SFR_V3_RECOMMENDED_G0179_FA","sami_father_v3_0179","formalised_argumentation","1","179","90"
"SFR_V3_RECOMMENDED_G0153_FA","sami_father_v3_0153","formalised_argumentation","1","153","91"
"SFR_V3_RECOMMENDED_G0039_FA","sami_father_v3_0039","formalised_argumentation","1","39","92"
"SFR_V3_RECOMMENDED_G0117_AO","sami_father_v3_0117","answer_only","0","117","93"
"SFR_V3_RECOMMENDED_G0031_AO","sami_father_v3_0031","answer_only","0","31","94"
"SFR_V3_RECOMMENDED_G0147_FA","sami_father_v3_0147","formalised_argumentation","1","147","95"
"SFR_V3_RECOMMENDED_G0285_FA","sami_father_v3_0285","formalised_argumentation","1","285","96"
"SFR_V3_RECOMMENDED_G0280_FA","sami_father_v3_0280","formalised_argumentation","1","280","97"
"SFR_V3_RECOMMENDED_G0284_AO","sami_father_v3_0284","answer_only","0","284","98"
"SFR_V3_RECOMMENDED_G0042_FA","sami_father_v3_0042","formalised_argumentation","1","42","99"
"SFR_V3_RECOMMENDED_G0078_FA","sami_father_v3_0078","formalised_argumentation","1","78","100"
"SFR_V3_RECOMMENDED_G0085_FA","sami_father_v3_0085","formalised_argumentation","1","85","101"
"SFR_V3_RECOMMENDED_G0240_FA","sami_father_v3_0240","formalised_argumentation","1","240","102"
"SFR_V3_RECOMMENDED_G0075_AO","sami_father_v3_0075","answer_only","0","75","103"
"SFR_V3_RECOMMENDED_G0047_AO","sami_father_v3_0047","answer_only","0","47","104"
"SFR_V3_RECOMMENDED_G0089_AO","sami_father_v3_0089","answer_only","0","89","105"
